#Linear limb darkening coefficients from Gianninas et al. 2013 ApJ, 766, 3 for given logg and Teff (first two columns).
 7.75 15500  0.3846
 7.75 16000  0.3790
 7.75 16500  0.3735
 7.75 17000  0.3681
 7.75 20000  0.3404
 7.75 25000  0.3076
 7.75 30000  0.2687
 8.00  4000  0.4622
 8.00  4250  0.4516
 8.00  4500  0.4417
 8.00  4750  0.4366
 8.00  5000  0.4388
 8.00  5250  0.4437
 8.00  5500  0.4540
 8.00  6000  0.4896
 8.00  6500  0.5297
 8.00  7000  0.5462
 8.00  7500  0.5418
 8.00  8000  0.5268
 8.00  8500  0.5065
 8.00  9000  0.4828
 8.00  9500  0.4560
 8.00 10000  0.4284
 8.00 10500  0.4027
 8.00 11000  0.3851
 8.00 11500  0.3764
 8.00 12000  0.3763
 8.00 12500  0.3814
 8.00 13000  0.3870
 8.00 13500  0.3923
 8.00 14000  0.3931
 8.00 14500  0.3901
 8.00 15000  0.3853
 8.00 15500  0.3801
 8.00 16000  0.3746
 8.00 16500  0.3689
 8.00 17000  0.3644
 8.00 20000  0.3375
 8.00 25000  0.3054
 8.00 30000  0.2664
 8.25  4000  0.4660
 8.25  4250  0.4557
 8.25  4500  0.4456
 8.25  4750  0.4387
 8.25  5000  0.4388
 8.25  5250  0.4417
 8.25  5500  0.4497
 8.25  6000  0.4785
 8.25  6500  0.5175
 8.25  7000  0.5391
 8.25  7500  0.5385
 8.25  8000  0.5252
 8.25  8500  0.5054
 8.25  9000  0.4817
 8.25  9500  0.4546
 8.25 10000  0.4262
 8.25 10500  0.3991
 8.25 11000  0.3778
 8.25 11500  0.3654
 8.25 12000  0.3606
 8.25 12500  0.3627
 8.25 13000  0.3676
 8.25 13500  0.3729
 8.25 14000  0.3780
 8.25 14500  0.3795
 8.25 15000  0.3778
 8.25 15500  0.3743
 8.25 16000  0.3697
 8.25 16500  0.3654
 8.25 17000  0.3604
 8.25 20000  0.3345
 8.25 25000  0.3032
 8.25 30000  0.2640
 8.50  4000  0.4699
 8.50  4250  0.4599
 8.50  4500  0.4498
 8.50  4750  0.4416
 8.50  5000  0.4402
 8.50  5250  0.4408
 8.50  5500  0.4469
 8.50  6000  0.4696
 8.50  6500  0.5051
 8.50  7000  0.5308
 8.50  7500  0.5348
 8.50  8000  0.5239
 8.50  8500  0.5050
 8.50  9000  0.4818
 8.50  9500  0.4550
 8.50 10000  0.4261
 8.50 10500  0.3974
 8.50 11000  0.3731
 8.50 11500  0.3569
 8.50 12000  0.3484
 8.50 12500  0.3461
 8.50 13000  0.3492
 8.50 13500  0.3537
 8.50 14000  0.3586
 8.50 14500  0.3636
 8.50 15000  0.3662
 8.50 15500  0.3659
 8.50 16000  0.3634
 8.50 16500  0.3599
 8.50 17000  0.3558
 8.50 20000  0.3315
 8.50 25000  0.3011
 8.50 30000  0.2617
 8.75  4000  0.4735
 8.75  4250  0.4640
 8.75  4500  0.4539
 8.75  4750  0.4448
 8.75  5000  0.4416
 8.75  5250  0.4412
 8.75  5500  0.4443
 8.75  6000  0.4627
 8.75  6500  0.4932
 8.75  7000  0.5213
 8.75  7500  0.5301
 8.75  8000  0.5224
 8.75  8500  0.5051
 8.75  9000  0.4828
 8.75  9500  0.4568
 8.75 10000  0.4281
 8.75 10500  0.3984
 8.75 11000  0.3713
 8.75 11500  0.3515
 8.75 12000  0.3392
 8.75 12500  0.3332
 8.75 13000  0.3325
 8.75 13500  0.3360
 8.75 14000  0.3401
 8.75 14500  0.3446
 8.75 15000  0.3497
 8.75 15500  0.3531
 8.75 16000  0.3540
 8.75 16500  0.3529
 8.75 17000  0.3504
 8.75 20000  0.3284
 8.75 25000  0.2989
 8.75 30000  0.2594
 9.00  4000  0.4770
 9.00  4250  0.4681
 9.00  4500  0.4582
 9.00  4750  0.4488
 9.00  5000  0.4431
 9.00  5250  0.4424
 9.00  5500  0.4433
 9.00  6000  0.4574
 9.00  6500  0.4826
 9.00  7000  0.5109
 9.00  7500  0.5242
 9.00  8000  0.5202
 9.00  8500  0.5052
 9.00  9000  0.4844
 9.00  9500  0.4597
 9.00 10000  0.4316
 9.00 10500  0.4016
 9.00 11000  0.3726
 9.00 11500  0.3494
 9.00 12000  0.3336
 9.00 12500  0.3240
 9.00 13000  0.3198
 9.00 13500  0.3201
 9.00 14000  0.3235
 9.00 14500  0.3273
 9.00 15000  0.3314
 9.00 15500  0.3363
 9.00 16000  0.3404
 9.00 16500  0.3426
 9.00 17000  0.3428
 9.00 20000  0.3253
 9.00 25000  0.2968
 9.00 30000  0.2572
 9.25  4000  0.4803
 9.25  4250  0.4719
 9.25  4500  0.4624
 9.25  4750  0.4528
 9.25  5000  0.4455
 9.25  5250  0.4442
 9.25  5500  0.4433
 9.25  6000  0.4534
 9.25  6500  0.4739
 9.25  7000  0.5002
 9.25  7500  0.5172
 9.25  8000  0.5173
 9.25  8500  0.5051
 9.25  9000  0.4860
 9.25  9500  0.4629
 9.25 10000  0.4361
 9.25 10500  0.4068
 9.25 11000  0.3768
 9.25 11500  0.3506
 9.25 12000  0.3314
 9.25 12500  0.3187
 9.25 13000  0.3110
 9.25 13500  0.3079
 9.25 14000  0.3089
 9.25 14500  0.3122
 9.25 15000  0.3157
 9.25 15500  0.3195
 9.25 16000  0.3241
 9.25 16500  0.3286
 9.25 17000  0.3318
 9.25 20000  0.3217
 9.25 25000  0.2948
 9.25 30000  0.2550
 9.50  4000  0.4832
 9.50  4250  0.4757
 9.50  4500  0.4666
 9.50  4750  0.4568
 9.50  5000  0.4489
 9.50  5250  0.4465
 9.50  5500  0.4444
 9.50  6000  0.4504
 9.50  6500  0.4670
 9.50  7000  0.4900
 9.50  7500  0.5091
 9.50  8000  0.5135
 9.50  8500  0.5044
 9.50  9000  0.4875
 9.50  9500  0.4661
 9.50 10000  0.4412
 9.50 10500  0.4134
 9.50 11000  0.3836
 9.50 11500  0.3553
 9.50 12000  0.3329
 9.50 12500  0.3169
 9.50 13000  0.3063
 9.50 13500  0.3001
 9.50 14000  0.2978
 9.50 14500  0.2991
 9.50 15000  0.3023
 9.50 15500  0.3057
 9.50 16000  0.3091
 9.50 16500  0.3133
 9.50 17000  0.3179
 9.50 20000  0.3186
 9.50 25000  0.2929
 9.50 30000  0.2529
